Sample	Population	SuperPopulation	isFemale	PurpleHair	CaffeineConsumption	HasSixToes
HG00096	GBR	EUR	false	false	4	false
HG00097	GBR	EUR	true	true	4	false
HG00098	GBR	EUR	false	false	5	false
HG00099	GBR	EUR	true	false	4	false
HG00100	GBR	EUR	true	false	5	false
HG00101	GBR	EUR	false	true	1	false
HG00102	GBR	EUR	true	true	6	false
HG00103	GBR	EUR	false	true	5	false
HG00104	GBR	EUR	true	false	5	false
HG00105	GBR	EUR	false	false	4	false
HG00106	GBR	EUR	true	false	7	false
HG00107	GBR	EUR	false	true	4	true
HG00108	GBR	EUR	false	false	2	false
HG00109	GBR	EUR	false	true	3	false
HG00110	GBR	EUR	true	true	3	false
HG00111	GBR	EUR	true	true	2	false
HG00112	GBR	EUR	false	false	2	false
HG00113	GBR	EUR	false	false	5	false
HG00114	GBR	EUR	false	true	6	false
HG00115	GBR	EUR	false	true	4	false
HG00116	GBR	EUR	false	false	4	false
HG00117	GBR	EUR	false	true	3	false
HG00118	GBR	EUR	true	false	3	false
HG00119	GBR	EUR	false	true	4	false
HG00120	GBR	EUR	true	true	3	false
HG00121	GBR	EUR	true	true	1	false
HG00122	GBR	EUR	true	true	2	false
HG00123	GBR	EUR	true	true	3	false
HG00124	GBR	EUR	true	false	4	false
HG00125	GBR	EUR	true	true	3	false
HG00126	GBR	EUR	false	false	3	false
HG00127	GBR	EUR	true	true	7	false
HG00128	GBR	EUR	true	true	5	false
HG00129	GBR	EUR	false	false	6	false
HG00130	GBR	EUR	true	true	3	false
HG00131	GBR	EUR	false	false	5	false
HG00132	GBR	EUR	true	false	3	false
HG00133	GBR	EUR	true	false	4	false
HG00134	GBR	EUR	true	false	3	false
HG00135	GBR	EUR	true	true	6	false
HG00136	GBR	EUR	false	true	3	false
HG00137	GBR	EUR	true	true	2	false
HG00138	GBR	EUR	false	false	6	false
HG00139	GBR	EUR	false	true	4	false
HG00140	GBR	EUR	false	false	5	false
HG00141	GBR	EUR	false	false	3	false
HG00142	GBR	EUR	false	false	3	false
HG00143	GBR	EUR	false	true	7	false
HG00144	GBR	EUR	true	true	2	false
HG00145	GBR	EUR	false	false	3	false
HG00146	GBR	EUR	true	false	4	false
HG00147	GBR	EUR	true	true	1	false
HG00148	GBR	EUR	false	true	2	false
HG00149	GBR	EUR	false	true	5	false
HG00150	GBR	EUR	true	true	2	false
HG00151	GBR	EUR	false	false	5	false
HG00152	GBR	EUR	false	false	2	false
HG00153	GBR	EUR	true	false	4	false
HG00154	GBR	EUR	true	false	5	false
HG00155	GBR	EUR	false	true	4	false
HG00156	GBR	EUR	false	true	5	false
HG00157	GBR	EUR	false	true	1	false
HG00158	GBR	EUR	true	false	2	false
HG00159	GBR	EUR	false	false	7	false
HG00160	GBR	EUR	false	true	3	false
HG00171	FIN	EUR	true	false	6	false
HG00173	FIN	EUR	true	true	5	false
HG00174	FIN	EUR	true	true	4	false
HG00176	FIN	EUR	true	true	5	false
HG00177	FIN	EUR	true	true	4	false
HG00178	FIN	EUR	true	false	2	false
HG00179	FIN	EUR	true	true	5	false
HG00180	FIN	EUR	true	false	6	true
HG00181	FIN	EUR	false	true	1	false
HG00182	FIN	EUR	false	false	2	false
HG00183	FIN	EUR	false	false	1	false
HG00185	FIN	EUR	false	true	2	false
HG00186	FIN	EUR	false	true	5	false
HG00187	FIN	EUR	false	false	6	false
HG00188	FIN	EUR	false	false	2	false
HG00189	FIN	EUR	false	false	0	false
HG00190	FIN	EUR	false	false	4	false
HG00231	GBR	EUR	true	true	4	false
HG00232	GBR	EUR	true	true	6	false
HG00233	GBR	EUR	true	true	4	false
HG00234	GBR	EUR	false	true	5	false
HG00235	GBR	EUR	true	true	4	false
HG00236	GBR	EUR	true	false	3	false
HG00237	GBR	EUR	true	true	6	false
HG00238	GBR	EUR	true	true	4	false
HG00239	GBR	EUR	true	true	4	false
HG00240	GBR	EUR	true	false	5	false
HG00242	GBR	EUR	false	false	1	false
HG00243	GBR	EUR	false	true	6	false
HG00244	GBR	EUR	false	false	4	false
HG00245	GBR	EUR	true	false	5	false
HG00246	GBR	EUR	false	false	4	false
HG00247	GBR	EUR	true	true	2	false
HG00248	GBR	EUR	true	false	3	false
HG00249	GBR	EUR	true	true	5	false
HG00250	GBR	EUR	true	false	7	false
HG00251	GBR	EUR	false	true	4	false
HG00252	GBR	EUR	false	true	1	false
HG00253	GBR	EUR	true	false	5	false
HG00254	GBR	EUR	true	false	2	false
HG00255	GBR	EUR	true	true	5	false
HG00256	GBR	EUR	false	true	4	false
HG00257	GBR	EUR	true	true	5	false
HG00258	GBR	EUR	true	true	3	false
HG00259	GBR	EUR	true	false	2	false
HG00260	GBR	EUR	false	true	4	false
HG00261	GBR	EUR	true	true	5	false
HG00262	GBR	EUR	true	false	3	false
HG00263	GBR	EUR	true	true	3	false
HG00264	GBR	EUR	false	true	1	false
HG00265	GBR	EUR	false	true	0	false
HG00266	FIN	EUR	true	true	3	false
HG00267	FIN	EUR	false	true	0	false
HG00268	FIN	EUR	true	true	3	false
HG00269	FIN	EUR	true	true	1	false
HG00270	FIN	EUR	true	true	7	false
HG00271	FIN	EUR	false	false	5	false
HG00272	FIN	EUR	true	true	5	false
HG00273	FIN	EUR	false	true	2	false
HG00274	FIN	EUR	true	true	4	false
HG00275	FIN	EUR	true	false	3	false
HG00276	FIN	EUR	true	false	5	false
HG00277	FIN	EUR	false	true	6	false
HG00278	FIN	EUR	false	true	3	false
HG00280	FIN	EUR	false	false	4	false
HG00281	FIN	EUR	true	false	3	false
HG00282	FIN	EUR	true	false	4	false
HG00284	FIN	EUR	false	true	4	false
HG00285	FIN	EUR	true	true	3	false
HG00288	FIN	EUR	true	true	7	false
HG00290	FIN	EUR	false	false	5	false
HG00302	FIN	EUR	true	false	4	false
HG00303	FIN	EUR	false	true	1	false
HG00304	FIN	EUR	true	true	1	false
HG00306	FIN	EUR	true	false	5	false
HG00308	FIN	EUR	false	false	3	false
HG00309	FIN	EUR	true	false	6	false
HG00310	FIN	EUR	false	false	5	false
HG00311	FIN	EUR	false	true	6	false
HG00312	FIN	EUR	false	false	5	false
HG00313	FIN	EUR	true	true	2	false
HG00315	FIN	EUR	true	true	6	false
HG00318	FIN	EUR	true	true	4	false
HG00319	FIN	EUR	true	false	5	false
HG00320	FIN	EUR	true	false	4	false
HG00321	FIN	EUR	false	false	5	false
HG00323	FIN	EUR	true	false	5	false
HG00324	FIN	EUR	true	true	3	false
HG00325	FIN	EUR	false	true	4	false
HG00326	FIN	EUR	true	false	7	false
HG00327	FIN	EUR	true	false	1	false
HG00328	FIN	EUR	true	false	2	false
HG00329	FIN	EUR	false	true	5	false
HG00330	FIN	EUR	true	true	2	false
HG00331	FIN	EUR	true	true	6	false
HG00332	FIN	EUR	true	true	5	false
HG00334	FIN	EUR	true	false	8	false
HG00335	FIN	EUR	false	true	4	false
HG00336	FIN	EUR	false	true	6	false
HG00337	FIN	EUR	true	false	4	false
HG00338	FIN	EUR	false	true	3	false
HG00339	FIN	EUR	true	true	2	false
HG00341	FIN	EUR	false	true	2	false
HG00342	FIN	EUR	false	false	5	false
HG00343	FIN	EUR	true	true	1	false
HG00344	FIN	EUR	true	true	0	false
HG00345	FIN	EUR	false	true	7	false
HG00346	FIN	EUR	true	false	2	false
HG00349	FIN	EUR	true	false	3	false
HG00350	FIN	EUR	true	false	2	false
HG00351	FIN	EUR	false	false	5	false
HG00353	FIN	EUR	true	true	5	false
HG00355	FIN	EUR	true	false	6	false
HG00356	FIN	EUR	true	true	4	false
HG00357	FIN	EUR	true	true	5	false
HG00358	FIN	EUR	false	true	3	false
HG00359	FIN	EUR	true	true	6	false
HG00360	FIN	EUR	false	true	5	false
HG00361	FIN	EUR	true	false	4	false
HG00362	FIN	EUR	true	true	1	false
HG00364	FIN	EUR	true	false	6	false
HG00365	FIN	EUR	true	true	3	false
HG00366	FIN	EUR	false	false	5	false
HG00367	FIN	EUR	true	false	3	false
HG00368	FIN	EUR	true	false	5	false
HG00369	FIN	EUR	false	false	3	false
HG00371	FIN	EUR	false	true	4	false
HG00372	FIN	EUR	false	false	4	false
HG00373	FIN	EUR	true	false	0	false
HG00375	FIN	EUR	false	true	5	false
HG00376	FIN	EUR	true	false	4	false
HG00377	FIN	EUR	true	true	7	false
HG00378	FIN	EUR	true	false	3	false
HG00379	FIN	EUR	true	true	2	false
HG00380	FIN	EUR	true	true	2	false
HG00381	FIN	EUR	true	true	2	false
HG00382	FIN	EUR	false	false	4	false
HG00383	FIN	EUR	true	false	4	false
HG00384	FIN	EUR	true	true	4	false
HG00403	CHS	EAS	false	false	6	false
HG00404	CHS	EAS	true	false	4	false
HG00405	CHS	EAS	true	false	4	false
HG00406	CHS	EAS	false	true	4	false
HG00407	CHS	EAS	true	true	5	false
HG00408	CHS	EAS	true	true	3	false
HG00409	CHS	EAS	false	true	4	false
HG00410	CHS	EAS	true	true	5	false
HG00411	CHS	EAS	false	true	4	false
HG00418	CHS	EAS	false	false	4	false
HG00419	CHS	EAS	true	true	1	false
HG00420	CHS	EAS	false	true	9	false
HG00421	CHS	EAS	false	false	6	false
HG00422	CHS	EAS	true	false	6	false
HG00423	CHS	EAS	true	true	4	false
HG00427	CHS	EAS	false	false	5	false
HG00428	CHS	EAS	true	true	3	false
HG00429	CHS	EAS	false	false	4	false
HG00436	CHS	EAS	false	false	5	false
HG00437	CHS	EAS	true	false	3	false
HG00438	CHS	EAS	true	true	1	false
HG00442	CHS	EAS	false	true	6	false
HG00443	CHS	EAS	true	true	4	false
HG00444	CHS	EAS	false	false	5	false
HG00445	CHS	EAS	false	false	1	false
HG00446	CHS	EAS	true	true	4	true
HG00447	CHS	EAS	true	false	6	false
HG00448	CHS	EAS	false	true	8	false
HG00449	CHS	EAS	true	false	3	false
HG00450	CHS	EAS	true	false	3	false
HG00451	CHS	EAS	false	false	5	false
HG00452	CHS	EAS	true	false	5	false
HG00453	CHS	EAS	true	false	3	false
HG00457	CHS	EAS	false	true	4	false
HG00458	CHS	EAS	true	false	4	false
HG00459	CHS	EAS	false	false	2	false
HG00463	CHS	EAS	false	true	7	false
HG00464	CHS	EAS	true	false	3	false
HG00465	CHS	EAS	false	false	3	false
HG00472	CHS	EAS	false	true	7	false
HG00473	CHS	EAS	true	false	5	false
HG00474	CHS	EAS	false	true	3	false
HG00475	CHS	EAS	false	false	3	false
HG00476	CHS	EAS	true	false	5	false
HG00477	CHS	EAS	false	false	3	false
HG00478	CHS	EAS	false	true	6	false
HG00479	CHS	EAS	true	true	3	false
HG00480	CHS	EAS	false	true	6	false
HG00500	CHS	EAS	false	true	2	false
HG00501	CHS	EAS	true	false	5	false
HG00502	CHS	EAS	false	true	4	false
HG00512	CHS	EAS	false	false	1	false
HG00513	CHS	EAS	true	true	4	false
HG00514	CHS	EAS	true	true	3	false
HG00524	CHS	EAS	false	true	7	true
HG00525	CHS	EAS	true	true	4	false
HG00526	CHS	EAS	false	true	7	false
HG00530	CHS	EAS	false	true	5	false
HG00531	CHS	EAS	true	true	2	false
HG00532	CHS	EAS	false	false	2	false
HG00533	CHS	EAS	false	false	3	false
HG00534	CHS	EAS	true	true	5	false
HG00535	CHS	EAS	false	true	1	false
HG00536	CHS	EAS	false	true	4	false
HG00537	CHS	EAS	true	false	6	false
HG00538	CHS	EAS	false	false	5	false
HG00542	CHS	EAS	false	false	1	false
HG00543	CHS	EAS	true	false	6	true
HG00544	CHS	EAS	true	false	4	false
HG00551	PUR	AMR	true	true	6	false
HG00552	PUR	AMR	false	true	5	false
HG00553	PUR	AMR	false	true	3	false
HG00554	PUR	AMR	true	true	4	false
HG00555	PUR	AMR	true	true	4	false
HG00556	CHS	EAS	false	false	6	false
HG00557	CHS	EAS	true	true	9	false
HG00558	CHS	EAS	true	true	5	false
HG00559	CHS	EAS	false	false	4	false
HG00560	CHS	EAS	true	true	6	false
HG00561	CHS	EAS	true	true	3	false
HG00565	CHS	EAS	false	true	2	false
HG00566	CHS	EAS	true	true	7	false
HG00567	CHS	EAS	false	false	4	false
HG00577	CHS	EAS	false	false	3	false
HG00578	CHS	EAS	true	true	-1	false
HG00579	CHS	EAS	true	true	3	false
HG00580	CHS	EAS	false	true	4	false
HG00581	CHS	EAS	true	false	5	false
HG00582	CHS	EAS	true	false	5	false
HG00583	CHS	EAS	false	true	7	false
HG00584	CHS	EAS	true	true	4	false
HG00585	CHS	EAS	true	false	3	false
HG00589	CHS	EAS	false	false	3	false
HG00590	CHS	EAS	true	true	5	false
HG00591	CHS	EAS	false	false	3	false
HG00592	CHS	EAS	false	false	0	false
HG00593	CHS	EAS	true	false	2	false
HG00594	CHS	EAS	false	false	0	false
HG00595	CHS	EAS	false	true	3	false
HG00596	CHS	EAS	true	true	2	false
HG00597	CHS	EAS	true	false	6	false
HG00598	CHS	EAS	false	true	1	false
HG00599	CHS	EAS	true	false	3	false
HG00600	CHS	EAS	true	false	3	false
HG00607	CHS	EAS	false	false	5	false
HG00608	CHS	EAS	true	true	5	false
HG00609	CHS	EAS	false	true	5	false
HG00610	CHS	EAS	false	true	1	false
HG00611	CHS	EAS	true	true	4	false
HG00612	CHS	EAS	true	true	5	false
HG00613	CHS	EAS	false	false	1	false
HG00614	CHS	EAS	true	false	4	false
HG00615	CHS	EAS	true	false	1	false
HG00619	CHS	EAS	false	true	5	false
HG00620	CHS	EAS	true	false	4	false
HG00621	CHS	EAS	false	false	5	false
HG00622	CHS	EAS	false	false	2	false
HG00623	CHS	EAS	true	true	5	false
HG00624	CHS	EAS	false	false	3	false
